date,total_cases_portugal,total_deaths_portugal,cfr_portugal,total_cases_mundo,total_deaths_mundo,cfr_mundo
2021-02-03,685673,12791,1.8654664832945151,103460690,2412776,2.3320702771265105
2021-02-04,685673,12791,1.8654664832945151,103875329,2424597,2.3341413436100886
2021-02-05,685673,12791,1.8654664832945151,104276884,2436387,2.336459344143808
2021-02-06,685673,12791,1.8654664832945151,104688246,2447401,2.3377992215095476
2021-02-07,730158,14378,1.9691628387280562,105522590,2470649,2.3413460568016764
2021-02-08,730158,14378,1.9691628387280562,105862782,2480414,2.343046303090731
2021-02-09,730158,14378,1.9691628387280562,106156761,2488866,2.3445195355951
2021-02-10,730158,14378,1.9691628387280562,106465684,2498184,2.3464687457415856
2021-02-11,730158,14378,1.9691628387280562,106819824,2508756,2.3485865320279875
2021-02-12,730158,14378,1.9691628387280562,107192667,2519433,2.3503781280113123
2021-02-13,730158,14378,1.9691628387280562,107559354,2530295,2.352463924244097
2021-02-14,752988,15412,2.046778965933056,108242087,2552134,2.3578019148873213
2021-02-15,752988,15412,2.046778965933056,108533150,2561552,2.360156320902876
2021-02-16,752988,15412,2.046778965933056,108790579,2569313,2.3617054193635645
2021-02-17,752988,15412,2.046778965933056,109079667,2577001,2.3624943776185163
2021-02-18,752988,15412,2.046778965933056,109398848,2585199,2.3630952676942267
2021-02-19,752988,15412,2.046778965933056,109731521,2594336,2.364257759627701
2021-02-20,752988,15412,2.046778965933056,110063223,2603631,2.365577646222481
2021-02-21,766862,16020,2.089032968122035,110715321,2620559,2.3669343830019693
2021-02-22,766862,16020,2.089032968122035,111016908,2628319,2.3674943279811034
2021-02-23,766862,16020,2.089032968122035,111283367,2635466,2.36824789817871
2021-02-24,766862,16020,2.089032968122035,111580828,2643039,2.368721443794986
2021-02-25,766862,16020,2.089032968122035,111942901,2651349,2.368483375287907
2021-02-26,766862,16020,2.089032968122035,112313234,2660078,2.368445734542734
2021-02-27,766862,16020,2.089032968122035,112680452,2669509,2.369096815479583
2021-02-28,775667,16346,2.1073476117973304,113376080,2684558,2.3678345555782134
2021-03-01,775667,16346,2.1073476117973304,113689721,2692070,2.367909760285189
2021-03-02,775667,16346,2.1073476117973304,113959550,2698649,2.3680762165171765
2021-03-03,775667,16346,2.1073476117973304,114271127,2705831,2.3679043613528026
2021-03-04,775667,16346,2.1073476117973304,114628760,2713615,2.3673072970518043
2021-03-05,775667,16346,2.1073476117973304,115006073,2722404,2.3671828182499546
2021-03-06,775667,16346,2.1073476117973304,115381186,2730311,2.3663398641092144
